,text,agg,conds
0,tell me what the notes are for south australia,0,1
1,what is the current series where the new series began in june 2011,0,1
2,what is the format for south australia,0,1
3,name the background colour for the australian capital territory,0,1
4,how many times is the fuel propulsion is cng,3,1
5,what is the fuel propulsion where the fleet series (quantity) is 310-329 (20),0,1
6,who is the manufacturer for the order year 1998,0,1
7,how many times is the model ge40lfr,3,1
8,how many times is the fleet series (quantity) is 468-473 (6),3,1
9,what is the powertrain (engine/transmission) when the order year is 2000,0,1
10,what if the description of a ch-47d chinook,0,1
11,what is the max gross weight of the robinson r-22,0,1
12,what school did player number 6 come from,0,1
13,what school did the player that has been in toronto from 2012-present come from,0,1
14,what school did the player that has been in toronto from 2010-2012 go to,0,1
15,what position did the player from baylor play,0,1
16,who played in the toronto raptors from 1995-96,0,1
17,which number was patrick o'bryant,0,1
18,what school did patrick o'bryant play for,0,1
19,how many number does fordham school have,3,1
20,which school was in toronto in 2001-02,0,1
21,which school did the player that played 2004-05 attend,0,1
22,which position does loren woods play,0,1
23,what number is the player that played 1998-2001,2,1
24,which country is the player that went to georgetown from,0,1
25,which school did herb williams go to,0,1
26,when did the player from hawaii play for toronto,0,1
27,during what period did dell curry play for toronto,0,1
28,what's the number of the player from boise state,0,1
29,what's dell curry nationality,0,1
30,which player is from georgia,0,1
31,what school is rudy gay from,0,1
32,what nationality is the player who played from 1997-98,0,1
33,what position did the player from connecticut play,0,1
34,during which years was marcus banks in toronto,0,1
35,which positions were in toronto in 2004,0,1
36,what nationality is the player muggsy bogues,0,1
37,what years was the player lonny baxter in toronto,0,1
38,how many players were with the school or club team la salle,3,1
39,"when the scoring rank was 117, what was the best finish",0,1
40,"when the best finish was t69, how many people came in 2nd",0,1
41,how many wins were there when the money list rank was 183,3,1
42,"when the money list rank was n/a, what was the scoring average",0,1
43,what time was the highest for 2nd finishers,1,0
44,when did the metrostars have their first rookie of the year winner,2,1
45,what college did the rookie of the year from the columbus crew attend,0,1
46,how many teams had a #1 draft pick that won the rookie of the year award,3,1
47,what position did the #10 draft pick play,0,1
48,what's the years played with singles w-l of 3–2,0,1
49,what's the doubles w-l for player seol jae-min (none),0,1
50,what's the singles w-l for kim doo-hwan,0,1
51,what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,3,2
52,what's the doubles w-l with years played value of 1 (1968),0,1
53,what years are played for player  im chung-yang,0,1
54,what is the name of the 375 crest length,0,1
55,what is year of construction of spitallamm,2,1
56,what is the canton of grande dixence,0,1
57,what is the name where lago di luzzone is,0,1
58,what is the  guardian mātṛkā for the guardian whose consort is svāhā,0,1
59,"where the mantra is ""oṃ yaṃ vāyuve namaḥ"", what is the direction of the guardian",0,1
60,what weapon is used by the guardian whose consort is śacī,0,1
61,what are the directions for the guardian whose weapon is khaḍga (sword),0,1
62,what are the weapons used by guardians for the direction east,0,1
63,what are the directions for the guardian whose graha (planet) is bṛhaspati (jupiter),0,1
64,"what is the number of chapters listed for the fraternity with a headquarters in austin, texas",1,2
65,what are the members listed with the sorority classification,0,1
66,name the member that has 12 chapters,0,1
67,where is the headquarters of alpha nu omega,0,1
68,what is the number of relapsing fever when malaria is 3000,2,1
69,what is the typhoid fever number for the year 1934,0,1
70,what are all the typhus number when smallpox is 4,0,1
71,what is the number of smallpox when typhoid fever is 293,1,1
72,what is the typhoid fever number for the year 1929,0,1
73,"how many schools are in bloomington, in",3,1
74,how many of the schools are designated private/presbyterian,3,1
75,in what year was lindenwood university founded,2,1
76,"how many of the schools listed are in ames, ia",3,1
77,what is the capital (endonym) where douglas is the capital (exonym),0,1
78,how many countries (endonym) has the capital (endonym) of jakarta,3,1
79,what is the country (exonym) where the official or native language(s) (alphabet/script) is icelandic,0,1
80,in which country (endonym) is irish english the official or native language(s) (alphabet/script),0,1
81,which country (exonym) is the country (endonym) isle of man ellan vannin,0,1
82,"the season premiere aired on september 11, 2000 aired on how many networks",3,1
